Title,Author,My_Review
No Two Persons,Erica Bauermeister,"Satisfying, realistic, loved how each story was related to the others"
Weyward,Emilia Hart,"Brave, strong, alive, and a bit magical told through 3 generations"
Daisy Jones & The Six,Taylor Jenkins Reid,"Interesting interview format showing each person's ""truth"". Feel like it captures the messiness of rock and roll in the 70s."
Tom Lake,Ann Patchett,Mostly boring with hard to understand characters.
Iona Iverson's Rules for Commuting,Clare Pooley,Like-able cast of characters and storylines.
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"First audiobook, fun to listen to Poirot figure it out. Was the ending too easy?"
Eleanor Oliphant Is Completely Fine,Gail Honeyman,A gripping read but the conclusion was a bit weak.
Carrie Soto Is Back,Taylor Jenkins Reid,Strong protagonist who evolves beautifully and exciting tennis plot.
The One Hundred Years of Lenni and Margot,Marianne Cronin,Decent friendship story but felt a bit too fragmented to be fully immersed.
Pachinko,Min Jin Lee,"Historical fiction story of 4 generations of a Korean-Japanese family. Realistic, educational, and emotional."
The Museum of Failures,Thrity Umrigar,"Set in India. Heart wrenching family secret leading to the exploration of parent-child love, understanding, and forgiveness."
Malibu Rising,Taylor Jenkins Reid,Strong protagonist and ending but a bit difficult to become immersed.
Crying in H Mart,Michelle Zauner,"Deeply personal and honest anecdotes, but not a very cohesive memoir and some parts felt descriptive only for the sake of describing."
Familia,Lauren E. Rico,"Family, community, secrets, ""truth"", and the lengths people will go to protect them."
We Could Be So Good,Cat Sebastian,Very very sweet and fluffy grumpy/sunshine gay romance but written too much like fanfiction
The Collected Regrets of Clover,Mikki Brammer,"The secret to a beautiful death is living a beautiful life. Oddly fitting that my first book of the year is one supposedly about death but is actually about celebrating life. Writing is easy to read - heartfelt, warm, and relatable."
Beach Read,Emily Henry,Inspires a longing for a similarly gentle romance with someone who loves you back.
The Lost Apothecary,Sarah Penner,Mix of historical fiction and mystery
A Man Called Ove,Fredrik Backman,"Emotional, sentimental, and feel good story about finding things and people worth living for."
"Ready Player One (Ready Player One, #1)",Ernest Cline,Sword art online meets 1980's obsession.
All the Lovers in the Night,Mieko Kawakami,"If there was a message, it went over my head…"
Britt-Marie Was Here,Fredrik Backman,Comfortable read but almost too similar to A Man Called Ove.
My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,"A powerful, complex story that comes to life."
The Book of Goose,Yiyun Li,Not a bad read but was confused throughout and after.
Behind Her Eyes,Sarah Pinborough,Unsettling thriller that kept me on my toes with an ending I could barely believe.
The Crane Wife: A Memoir in Essays,C.J. Hauser,"A memoir in essays - very honest look into the author's lives no matter how messy it was. The chapter ""The Crane Wife"" was unexpectedly relatable and put into words what I wasn't able to articulate during my breakup."
Cover Story,Susan Rigetti,Inventing Anna in story form. Felt like I held my breath the whole time only to scream at the ending. Spoiler: when she drives to her parents' house after drinking at the goodbye party
All This Could Be Different,Sarah Thankam Mathews,"Coming of age story touching on cultural expectations, gender, sexuality, and mental health. The writing is very raw, honest, and vivid."
Banyan Moon,Thao Thai,"Beautiful writing that explores motherhood, family, and forgiveness."
"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Chilling, nightmarish social commentary on Korean misogyny, sexism, and patriarchy."
Sharp Objects,Gillian Flynn,Disturbing and gory thriller.
Mouth to Mouth,Antoine Wilson,Opportunity and self-delusion in the art world told from pov of a noticeably untrustworthy source.
The Invisible Life of Addie LaRue,V.E. Schwab,Dancing with the devil.
People We Meet on Vacation,Emily Henry,"Friends to lovers, veryyy slow burn, skim-read most of the book"
Anxious People,Fredrik Backman,Page turner centered around a bunch of idiots. Really fun to unravel the truth.
This Time Tomorrow,Emma Straub,"Time travel, written tenderly about being 16 and 40 at the same time"
I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,"Raw, honest but comforting memoir about the author's therapy sessions for depression."
Yellowface,R.F. Kuang,"Dark, thrilling satire with no one to root for."
Happy Place,Emily Henry,Her writing of the constant emotional push and pull had me crying for 50% of the book. I think it's the way her characters love each other so fiercely even after their breakup that moved me. Harriett as a people pleaser who never learned how to deal with conflict was almost too relatable…
The Wishing Game,Meg Shaffer,Wholesome and heartwarming. Made me feel like a kid again.
The Celebrants,Steven  Rowley,Celebrating life and lifelong friends.
I'm Glad My Mom Died,Jennette McCurdy,Most interesting memoir I've read so far. Honest but humorous so it doesn't feel too heavy.
The Paris Apartment,Lucy Foley,"Spooky and suspenseful, very fun to read."
"The Midnight Library (The Midnight World, #1)",Matt Haig,Choose to live. Predictable but good message.
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Marriage, sexuality, and unapologetically acting in one's self-interest."
The Silent Patient,Alex Michaelides,Intense psychological thriller with a shocking twist. Couldn't put the book down.
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Really beautiful writing exploring both the fragility and tenacity of friendship, family, love, and life. Felt inexplicably vulnerable as the reader."
Book Lovers,Emily Henry,"Easy-to-read rom com with likeable, relatable characters."
The Guest List,Lucy Foley,Murder mystery/thriller that made me feel murderous the entire read (a compliment).
The Vanishing Half,Brit Bennett,"Thought-provoking story about race, gender, and identity."
"The Widow (Kate Waters, #1)",Fiona Barton,Mild thriller that was dark but not too dark and kind of unsatisfying ending.
